project,year_month,prs_merged,cycle_median_days,cycle_p90_days,unique_contributors,comment_mean,comment_median,additions_median,deletions_median,files_median,additions_mean,deletions_mean,files_mean,era,date,month_num,new_authors,returning_authors,new_ratio,prs_opened,merge_rate
vLLM,2024-12,337,0.4720949074074074,10.248277777777783,100,3.1839762611275964,2.0,23.0,8.0,2.0,145.71216617210683,75.41543026706232,4.884272997032641,2,2024-12-01,21.97766097240473,32.0,68.0,0.32,480,0.7020833333333333
vLLM,2025-01,413,0.4976967592592592,12.046881944444458,136,3.2469733656174333,2.0,18.0,5.0,2.0,141.56900726392251,60.42130750605327,5.627118644067797,3,2025-01-01,22.996057818659658,58.0,78.0,0.4264705882352941,581,0.7108433734939759
vLLM,2025-02,485,0.7713657407407407,12.09980555555556,157,3.9649484536082475,2.0,17.0,6.0,2.0,151.6659619450317,49.678646934460886,6.465116279069767,3,2025-02-01,24.014454664914584,64.0,93.0,0.40764331210191085,733,0.6616643929058663
vLLM,2025-03,669,0.6878356481481481,12.11145138888889,188,3.8609865470852016,2.0,15.0,6.0,2.0,141.49470499243571,48.19667170953101,4.505295007564296,3,2025-03-01,24.93429697766097,91.0,97.0,0.48404255319148937,958,0.6983298538622129
vLLM,2025-04,669,0.6871643518518519,14.095351851851868,221,4.026905829596412,2.0,15.0,5.0,2.0,113.50301204819277,40.47289156626506,3.930722891566265,3,2025-04-01,25.952693823915897,109.0,112.0,0.49321266968325794,924,0.724025974025974
vLLM,2025-05,682,0.6050347222222222,13.118287037037037,210,3.9501466275659824,2.0,15.0,5.0,2.0,122.59763313609467,64.53402366863905,4.769230769230769,3,2025-05-01,26.938239159001313,79.0,131.0,0.3761904761904762,955,0.7141361256544503
vLLM,2025-06,506,1.1524999999999999,13.70670138888889,177,4.407114624505929,2.0,16.0,4.0,2.0,108.88690476190476,34.410714285714285,6.5476190476190474,3,2025-06-01,27.95663600525624,64.0,113.0,0.3615819209039548,781,0.647887323943662
vLLM,2025-07,802,0.8434722222222222,16.351254629629626,256,3.932668329177057,2.0,19.0,7.0,2.0,133.56603773584905,76.37735849056604,4.425157232704403,3,2025-07-01,28.942181340341655,119.0,137.0,0.46484375,1201,0.6677768526228143
vLLM,2025-08,879,0.8717708333333334,13.369199074074078,272,3.514220705346985,2.0,20.0,7.0,2.0,108.15849486887114,53.32953249714937,3.854047890535918,3,2025-08-01,29.96057818659658,114.0,158.0,0.41911764705882354,1333,0.6594148537134283
vLLM,2025-09,972,0.9445486111111112,16.98627546296295,301,3.159465020576132,1.0,18.0,7.0,2.0,122.51962809917356,107.18388429752066,4.6115702479338845,3,2025-09-01,30.97897503285151,123.0,178.0,0.40863787375415284,1406,0.6913229018492176
vLLM,2025-10,871,0.9517129629629628,18.65886574074074,305,3.2629161882893225,1.0,21.0,7.0,2.0,258.49248554913294,170.9514450867052,7.738728323699422,3,2025-10-01,31.964520367936924,108.0,197.0,0.3540983606557377,1326,0.6568627450980392
vLLM,2025-11,907,1.1255902777777778,18.554393518518506,321,3.1742006615214993,1.0,16.0,6.0,2.0,109.17777777777778,45.14555555555555,4.411111111111111,3,2025-11-01,32.98291721419185,128.0,193.0,0.3987538940809969,1263,0.7181314330958036
vLLM,2025-12,798,1.276869212962963,17.942179398148156,318,3.492481203007519,2.0,19.0,5.0,2.0,106.95345911949686,42.764779874213836,4.210062893081761,3,2025-12-01,33.96846254927726,111.0,207.0,0.3490566037735849,1362,0.5859030837004405
vLLM,2026-01,888,1.1963541666666666,21.782231481481528,303,3.425675675675676,1.0,23.0,7.0,2.0,146.3843537414966,72.2936507936508,5.672335600907029,3,2026-01-01,34.98685939553219,118.0,185.0,0.38943894389438943,1418,0.6262341325811002
vLLM,2026-02,865,1.1705671296296296,16.690560185185188,314,3.284393063583815,2.0,19.0,6.0,2.0,196.27558139534884,83.50581395348837,4.219767441860465,3,2026-02-01,36.00525624178712,115.0,199.0,0.3662420382165605,1614,0.5359355638166047
vLLM,2026-03,1078,1.6053877314814815,18.968041666666668,379,3.5166975881261595,1.0,24.0,6.0,2.0,166.71308411214955,93.12056074766355,4.527102803738318,3,2026-03-01,36.925098554533506,155.0,224.0,0.40897097625329815,2339,0.4608807182556648
vLLM,2026-04,812,2.9228935185185185,27.26902546296296,329,4.0492610837438425,2.0,29.0,6.0,2.0,202.17821782178217,53.96534653465346,4.548267326732673,3,2026-04-01,37.943495400788436,126.0,203.0,0.3829787234042553,1963,0.41365257259296995
vLLM,2026-05,897,2.8169675925925928,26.487689814814807,355,3.677814938684504,2.0,37.5,7.0,2.0,298.061797752809,84.80449438202247,4.576404494382023,3,2026-05-01,38.92904073587385,135.0,220.0,0.38028169014084506,2101,0.42693955259400285
vLLM,2026-06,1156,2.5152083333333337,27.73556712962963,396,3.327854671280277,2.0,47.0,7.0,2.0,228.50087108013938,78.57404181184668,4.923344947735192,3,2026-06-01,39.94743758212878,169.0,227.0,0.42676767676767674,2550,0.4533333333333333
